,Top-5 parties by % of votes in the cluster,The biggest (of The Top-50) cities in the cluster,All cities in the clust (amount)
0,"Zionist Union - 20.05, Likud - 18.99, Joint List - 15.12, The Jewish Home - 8.71, Yesh Atid - 7.60",MODI'IN ILLIT,1125
1,"Zionist Union - 34.27, Likud - 18.19, Meretz - 13.03, Yesh Atid - 11.57, Kulanu - 6.88",TEL AVIV - YAFO,1
2,"Likud - 28.42, Zionist Union - 18.81, Yesh Atid - 10.94, Kulanu - 9.61, The Jewish Home - 7.55","KEFAR AVODA, HAIFA, RISHON LEZIYYON, PETAH TIQWA, ASHDOD, NETANYA, HOLON, BE'ER SHEVA, RAMAT GAN",9
3,"Likud - 24.24, United Torah Judaism - 21.13, Shas - 11.98, Zionist Union - 9.67, The Jewish Home - 8.33",JERUSALEM,1
4,"United Torah Judaism - 59.35, Shas - 23.97, Yachad - 5.50, Likud - 4.57, The Jewish Home - 2.35",BENE BERAQ,1
5,"Likud - 30.05, Zionist Union - 20.38, Yesh Atid - 10.77, Kulanu - 9.06, Yisrael Beiteinu - 7.15","REHOVOT, BAT YAM, ASHQELON, KEFAR SAVA, HERZLIYYA, HADERA, MODI'IN-MAKKABBIM-RE'UT, RA'ANNANA, BET SHEMESH, GIV'ATAYIM, RAMLA, LOD, HOD HASHARON, NAHARIYYA, QIRYAT ATTA, RAMAT HASHARON, QIRYAT GAT, AKKO, KARMI'EL, QIRYAT MOTZKIN, NES ZIYYONA, ROSH HAAYIN, AFULA, ELAT, QIRYAT BIALIK, NAZERAT ILLIT, YAVNE, QIRYAT YAM, QIRYAT ONO, TIBERIAS, MA'ALE ADUMMIM, PARDES HANNA-KARKUR, OR YEHUDA, YEHUD",35
6,"Joint List - 91.79, Meretz - 2.33, Zionist Union - 2.21, Yisrael Beiteinu - 0.96, Likud - 0.55","NAZARETH, UMM AL-FAHM, TAYIBE",20
