,סמל ועדה,מצביעים,פסולים,מחוז,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2018,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה,מרחב משטרה,אשכול רשויות מקומיות,label
572,2,363,2,1,111.0,26.0,444.0,1.0,724.0,704.0,2.0,1950.0,310,1.0,2128463002.0,571.0,10002521.0,0.0,False
21,17,787,2,6,612.0,34.0,0.0,1.0,1675.0,1673.0,0.0,1956.0,350,0.0,1775460940.0,150.0,10001813.0,0.0,False
282,17,777,4,6,612.0,34.0,0.0,1.0,1675.0,1673.0,0.0,1956.0,350,0.0,1775460940.0,150.0,10001813.0,0.0,False
22,4,311,0,2,294.0,71.0,0.0,1.0,714.0,714.0,0.0,1978.0,310,2.0,2719674774.0,346.0,10004579.0,211.0,False
1147,4,306,0,2,294.0,71.0,0.0,1.0,714.0,714.0,0.0,1978.0,310,2.0,2719674774.0,346.0,10004579.0,211.0,False
23,10,882,1,7,0.0,72.0,0.0,1.0,1895.0,1883.0,0.0,1990.0,370,11.0,2070868793.0,143.0,10003262.0,0.0,False
1128,10,865,2,7,0.0,72.0,0.0,1.0,1895.0,1883.0,0.0,1990.0,370,11.0,2070868793.0,143.0,10003262.0,0.0,False
24,18,158,1,6,622.0,38.0,0.0,1.0,274.0,196.0,0.0,1990.0,370,10.0,1361956745.0,89.0,10001893.0,620.0,False
892,18,157,2,6,622.0,38.0,0.0,1.0,274.0,196.0,0.0,1990.0,370,10.0,1361956745.0,89.0,10001893.0,620.0,False
25,2,191,0,7,0.0,78.0,0.0,1.0,440.0,434.0,0.0,1984.0,370,9.0,2016960665.0,552.0,15003512.0,0.0,False
1106,2,190,0,7,0.0,78.0,0.0,1.0,440.0,434.0,0.0,1984.0,370,9.0,2016960665.0,552.0,15003512.0,0.0,False
26,5,183,0,2,234.0,8.0,0.0,1.0,279.0,278.0,0.0,1956.0,310,1.0,2257971719.0,69.0,10004394.0,213.0,False
70,5,191,0,2,234.0,8.0,0.0,1.0,279.0,278.0,0.0,1956.0,310,1.0,2257971719.0,69.0,10004394.0,213.0,False
27,6,195,0,2,244.0,4.0,0.0,1.0,209.0,183.0,0.0,1958.0,330,15.0,2199777600.0,409.0,10004302.0,212.0,False
717,6,198,0,2,244.0,4.0,0.0,1.0,209.0,183.0,0.0,1958.0,330,15.0,2199777600.0,409.0,10004302.0,212.0,False
28,2,409,1,1,112.0,26.0,444.0,1.0,848.0,848.0,0.0,1961.0,310,1.0,1995861869.0,396.0,15000597.0,0.0,False
743,2,396,0,1,112.0,26.0,444.0,1.0,848.0,848.0,0.0,1961.0,310,1.0,1995861869.0,396.0,15000597.0,0.0,False
29,10,615,1,4,411.0,19.0,141.0,1.0,1375.0,1338.0,0.0,1948.0,310,10.0,1858268581.0,10.0,15000060.0,0.0,False
320,10,617,0,4,411.0,19.0,141.0,1.0,1375.0,1338.0,0.0,1948.0,310,10.0,1858268581.0,10.0,15000060.0,0.0,False
30,3,89,0,2,292.0,71.0,0.0,1.0,139.0,136.0,0.0,1976.0,320,6.0,2702878880.0,1019.0,10004579.0,211.0,False
1146,3,98,0,2,292.0,71.0,0.0,1.0,139.0,136.0,0.0,1976.0,320,6.0,2702878880.0,1019.0,10004579.0,211.0,False
31,18,185,0,6,622.0,38.0,0.0,1.0,407.0,387.0,18.0,1969.0,310,1.0,1458057199.0,131.0,10001893.0,620.0,False
701,18,173,0,6,622.0,38.0,0.0,1.0,407.0,387.0,18.0,1969.0,310,1.0,1458057199.0,131.0,10001893.0,620.0,False
32,9,22535,126,3,323.0,0.0,0.0,2.0,55182.0,21.0,55138.0,1949.0,250,0.0,2145171399.0,139.0,10004249.0,0.0,True
1006,9,18060,206,3,323.0,0.0,0.0,2.0,55182.0,21.0,55138.0,1949.0,250,0.0,2145171399.0,139.0,10004249.0,0.0,True
33,9,580,1,3,323.0,14.0,0.0,2.0,1093.0,0.0,1093.0,1949.0,450,0.0,2055370835.0,89.0,10004233.0,0.0,False
962,9,510,4,3,323.0,14.0,0.0,2.0,1093.0,0.0,1093.0,1949.0,450,0.0,2055370835.0,89.0,10004233.0,0.0,False
34,18,1158,8,6,623.0,69.0,342.0,2.0,4093.0,12.0,4080.0,1949.0,290,0.0,1886757656.0,310.0,10001937.0,610.0,False
923,18,1089,11,6,623.0,69.0,342.0,2.0,4093.0,12.0,4080.0,1949.0,290,0.0,1886757656.0,310.0,10001937.0,610.0,False
35,5,231,0,2,234.0,8.0,0.0,1.0,368.0,342.0,0.0,1958.0,350,0.0,2230271878.0,64.0,10004394.0,213.0,False
737,5,221,0,2,234.0,8.0,0.0,1.0,368.0,342.0,0.0,1958.0,350,0.0,2230271878.0,64.0,10004394.0,213.0,False
36,10,388,0,4,412.0,16.0,141.0,1.0,832.0,820.0,1.0,1949.0,310,1.0,1996969743.0,27.0,15000060.0,0.0,False
479,10,399,0,4,412.0,16.0,141.0,1.0,832.0,820.0,1.0,1949.0,310,1.0,1996969743.0,27.0,15000060.0,0.0,False
37,18,14655,109,6,622.0,0.0,0.0,1.0,29021.0,26936.0,201.0,1955.0,160,0.0,1638257979.0,113.0,10001893.0,620.0,True
15,18,14236,134,6,622.0,0.0,0.0,1.0,29021.0,26936.0,201.0,1955.0,160,0.0,1638257979.0,113.0,10001893.0,620.0,True
38,3,184,0,2,212.0,2.0,0.0,1.0,548.0,548.0,0.0,1989.0,320,11.0,2421276781.0,716.0,10004528.0,211.0,False
884,3,183,1,2,212.0,2.0,0.0,1.0,548.0,548.0,0.0,1989.0,320,11.0,2421276781.0,716.0,10004528.0,211.0,False
39,17,469,0,6,614.0,37.0,0.0,1.0,754.0,726.0,0.0,1957.0,330,15.0,1620260736.0,44.0,10001829.0,620.0,False
40,17,473,1,6,614.0,37.0,0.0,1.0,754.0,726.0,0.0,1957.0,330,15.0,1620260736.0,44.0,10001829.0,620.0,False
40,16,18883,149,5,512.0,0.0,122.0,1.0,36864.0,36041.0,59.0,1950.0,160,0.0,1863265962.0,1.0,10001516.0,0.0,True
994,16,18880,152,5,512.0,0.0,122.0,1.0,36864.0,36041.0,59.0,1950.0,160,0.0,1863265962.0,1.0,10001516.0,0.0,True
41,9,10300,63,3,324.0,0.0,0.0,1.0,18236.0,16787.0,93.0,1951.0,170,0.0,1927371262.0,10.0,10004261.0,0.0,True
693,9,9856,63,3,324.0,0.0,0.0,1.0,18236.0,16787.0,93.0,1951.0,170,0.0,1927371262.0,10.0,10004261.0,0.0,True
42,2,602,1,1,111.0,26.0,444.0,1.0,1337.0,1279.0,3.0,1950.0,310,1.0,2145762903.0,734.0,10002521.0,0.0,False
571,2,629,0,1,111.0,26.0,444.0,1.0,1337.0,1279.0,3.0,1950.0,310,1.0,2145762903.0,734.0,10002521.0,0.0,False
43,17,319,2,6,611.0,33.0,143.0,1.0,507.0,502.0,0.0,1952.0,310,1.0,1749262782.0,40.0,10001821.0,420.0,False
954,17,324,0,6,611.0,33.0,143.0,1.0,507.0,502.0,0.0,1952.0,310,1.0,1749262782.0,40.0,10001821.0,420.0,False
44,3,177,0,2,292.0,71.0,0.0,1.0,343.0,343.0,0.0,1978.0,330,15.0,2712077700.0,859.0,10004579.0,211.0,False
1149,3,180,0,2,292.0,71.0,0.0,1.0,343.0,343.0,0.0,1978.0,330,15.0,2712077700.0,859.0,10004579.0,211.0,False
45,18,238,1,6,622.0,38.0,0.0,1.0,493.0,456.0,1.0,1946.0,330,15.0,1545457936.0,93.0,10001893.0,620.0,False
284,18,243,2,6,622.0,38.0,0.0,1.0,493.0,456.0,1.0,1946.0,330,15.0,1545457936.0,93.0,10001893.0,620.0,False
46,19,4937,10,7,0.0,99.0,145.0,1.0,8807.0,8678.0,10.0,1985.0,180,0.0,1995467087.0,60.0,10003262.0,0.0,False
1107,19,4877,16,7,0.0,99.0,145.0,1.0,8807.0,8678.0,10.0,1985.0,180,0.0,1995467087.0,60.0,10003262.0,0.0,False
47,8,260,0,3,311.0,12.0,222.0,1.0,492.0,481.0,0.0,1937.0,330,15.0,2110474459.0,19.0,10004207.0,0.0,False
180,8,261,0,3,311.0,12.0,222.0,1.0,492.0,481.0,0.0,1937.0,330,15.0,2110474459.0,19.0,10004207.0,0.0,False
48,16,6730,41,5,513.0,99.0,123.0,1.0,12854.0,12084.0,32.0,1948.0,170,0.0,1819465899.0,19.0,10001430.0,0.0,True
400,16,6599,31,5,513.0,99.0,123.0,1.0,12854.0,12084.0,32.0,1948.0,170,0.0,1819465899.0,19.0,10001430.0,0.0,True
49,17,143,0,6,611.0,33.0,143.0,1.0,351.0,341.0,0.0,1976.0,350,0.0,1782062796.0,60.0,10001821.0,420.0,False
772,17,146,0,6,611.0,33.0,143.0,1.0,351.0,341.0,0.0,1976.0,350,0.0,1782062796.0,60.0,10001821.0,420.0,False
50,17,277,0,6,612.0,50.0,0.0,1.0,544.0,525.0,6.0,1950.0,310,2.0,1782260687.0,160.0,10001813.0,0.0,False
609,17,295,0,6,612.0,50.0,0.0,1.0,544.0,525.0,6.0,1950.0,310,2.0,1782260687.0,160.0,10001813.0,0.0,False
51,5,1304,2,2,234.0,9.0,0.0,1.0,2256.0,2197.0,0.0,1998.0,190,0.0,2320072762.0,129.0,10004394.0,213.0,False
905,5,1252,7,2,234.0,9.0,0.0,1.0,2256.0,2197.0,0.0,1998.0,190,0.0,2320072762.0,129.0,10004394.0,213.0,False
52,6,512,6,2,246.0,4.0,241.0,1.0,868.0,859.0,0.0,1950.0,310,1.0,2165275698.0,20.0,10004315.0,212.0,False
574,6,515,1,2,246.0,4.0,241.0,1.0,868.0,859.0,0.0,1950.0,310,1.0,2165275698.0,20.0,10004315.0,212.0,False
53,10,546,4,4,412.0,16.0,141.0,1.0,1099.0,1089.0,0.0,1951.0,310,1.0,1993269934.0,39.0,15000060.0,0.0,False
633,10,547,0,4,412.0,16.0,141.0,1.0,1099.0,1089.0,0.0,1951.0,310,1.0,1993269934.0,39.0,15000060.0,0.0,False
54,12,744,2,4,432.0,25.0,142.0,1.0,1374.0,1372.0,0.0,1950.0,310,1.0,1914164919.0,58.0,10002261.0,0.0,False
592,12,685,2,4,432.0,25.0,142.0,1.0,1374.0,1372.0,0.0,1950.0,310,1.0,1914164919.0,58.0,10002261.0,0.0,False
